player,team,team_conf,fip_num,rating_adjustment,conf_diff,adj_fip_num,IP,FIP,adj_FIP
"Nemeth, Bridget",Penn St.,Penn St.,-65,24.298960456881886,-0.12791521419856092,-89.42687567108045,212.8,2.355873499032421,2.241085549450276
"Winstead, Emily",UNCW,UNCW,-73,-14.924892942921682,0.4925710884440539,-57.58253596863427,138.8,2.1353880274283386,2.246464857625498
"Penta, Maddie",Auburn,Auburn,-18,57.83821868285218,-1.3053623030292822,-77.14358098588147,200,2.57132462685197,2.2756067219225624
"Marsden, Rachel",Saint Francis (PA),Saint Francis (PA),-87,-26.28595209196535,0.7174016749717661,-59.99664623306288,162.5,2.1259400114673546,2.2921144961869677
"Howell, Sophie",Youngstown St.,Youngstown St.,-103,-32.12173973275101,0.4938065585659893,-70.384453708683,191.6,2.123746338751761,2.2939736158463173
"Herron, Robyn",Arkansas,Arkansas,-30,11.85889475887104,-1.5927673096554653,-43.4516620685265,120.2,2.411740600229674,2.2998299341021653
"White, Ryley",UMass Lowell,UMass Lowell,-62,-5.20531233391948,0.4699274725798881,-56.32476019350063,157.1,2.266671539646368,2.3027965543280957
"Pettit, Anslie",Ga. Southern,Ga. Southern,-32,8.814240993343514,-0.16282741046027396,-40.97706840380379,120.2,2.395101665121521,2.3204172358053494
"Cellura, Cece",San Diego St.,San Diego St.,-8,25.679231380461605,0.1576185669977944,-33.521612813463804,108.2,2.5873874734323765,2.35151304816931
"Kemp, Izzy",Dayton,Dayton,-34,1.812477313176952,0.34926216336215865,-35.46321514981479,116.6,2.3697294295963953,2.3571804145894073
"Holzopfel, Melissa",Cleveland St.,Cleveland St.,-48,-13.004630135820467,0.2830988270187289,-34.71227103716081,115.2,2.2446579601853034,2.3600028296543933
"Spencer, Regan",Clemson,Clemson,-2,30.77580111849472,-0.4268514430706049,-33.20265256156532,113.2,2.6436567823290016,2.3680149752480357
"Wapp, Avery",Lindenwood,Lindenwood,-42,-6.23083859656836,-0.8452053911114945,-36.61436679454313,130.9,2.340469011878708,2.3816121226919766
"Lackie, Olivia",South Alabama,South Alabama,-45,25.052839792621374,0.28419980412123813,-69.76863998850013,250.2,2.481468511744056,2.382473148080986
